priority,raw_row,legacy_id,supplier_name,raw_city,raw_state,raw_website,normalized_domain,access_meta_type,access_meta_url,candidate_url,conflict_codes,verification_status,review_reason
1,64,129,Schroeder Gardens,Millersville,PA,schroedergardens.com,schroedergardens.com,login,https://www.schroedergardens.com/shop,https://schroedergardens.com,,needs_review,"Registered adapter exists, but supplier identity, location, domain, or access model was not accepted into the verified canonical registry in this tranche."
1,110,201,Musser Forests Inc,Indiana,PA,musserforests.com,musserforests.com,pdf,https://noltsgreenhousesupplies.com/NGScatalog.pdf,https://musserforests.com,duplicate_domain;duplicate_legacy_id;name_domain_mismatch,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
1,116,207,Eppley Nursery,Denver,PA,eppley-nursery.com,eppley-nursery.com,public,https://www.siteone.com/en/,https://eppley-nursery.com,duplicate_legacy_id,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
1,119,210,Adams County Greenhouse & Nursery,Gettysburg,PA,adamscountygreenhouse.com,adamscountygreenhouse.com,public,https://www.arbico-organics.com/,https://adamscountygreenhouse.com,duplicate_legacy_id,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
1,124,367,Growella,Jacksonville,FL,growella.com,growella.com,public,,https://growella.com,,needs_review,"Registered adapter exists, but supplier identity, location, domain, or access model was not accepted into the verified canonical registry in this tranche."
2,96,200,Griffin Greenhouse Supplies,Tewksbury,MA,griffins.com,griffins.com,quote,https://www.griffins.com/about-us,https://griffins.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,109,200,Floral King Wholesale Nursery,Lititz,PA,floralkingnursery.com,floralkingnursery.com,quote,https://www.griffins.com/about-us,https://floralkingnursery.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,98,202,HC Companies,Twinsburg,OH,hc-companies.com,hc-companies.com,quote,https://hc-companies.com/plant-pots/,https://hc-companies.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,111,202,Colebrook Nursery,Ephrata,PA,colebrooknursery.com,colebrooknursery.com,quote,https://hc-companies.com/plant-pots/,https://colebrooknursery.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,99,203,Kirby Agri,Lancaster,PA,kirbyagri.com,kirbyagri.com,quote,,https://kirbyagri.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,112,203,Meadowview Wholesale Nursery,West Chester,PA,meadowviewnursery.com,meadowviewnursery.com,quote,,https://meadowviewnursery.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,100,204,Plant Food Company,Cranbury,NJ,plantfoodco.com,plantfoodco.com,quote,,https://plantfoodco.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,113,204,Sunnyslope Nurseries,Lansdale,PA,sunnyslope-nurseries.com,sunnyslope-nurseries.com,quote,,https://sunnyslope-nurseries.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,101,205,MasterTag,Montague,MI,mastertag.com,mastertag.com,quote,https://mastertag.com/contact/,https://mastertag.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,114,205,York Nursery & Garden Center Supply,York,PA,yorknursery.com,yorknursery.com,quote,https://mastertag.com/contact/,https://yorknursery.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,102,206,BWI Companies,Multiple,Regional,bwicompanies.com,bwicompanies.com,login,https://www.bwicompanies.com/login,https://bwicompanies.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,115,206,Lebanon Ornamental Nursery,Lebanon,PA,lebanonnursery.com,lebanonnursery.com,login,https://www.bwicompanies.com/login,https://lebanonnursery.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,104,208,Aquarius Supply,Norristown,PA,aquariussupply.com,aquariussupply.com,quote,,https://aquariussupply.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,117,208,Herr's Nursery & Garden Center,Akron,PA,herrsnursery.com,herrsnursery.com,quote,,https://herrsnursery.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,105,209,Beneficial Insectary,Redding,CA,insectary.com,insectary.com,quote,,https://insectary.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,118,209,Meadow Fresh Perennials,Coatesville,PA,meadowfreshperennials.com,meadowfreshperennials.com,quote,,https://meadowfreshperennials.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,107,211,Organic Mechanics Soil,Modena,PA,organicmechanicsoil.com,organicmechanicsoil.com,login,https://organicmechanicsoil.com/,https://organicmechanicsoil.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
2,120,211,Sunrise Nursery Supply,Hatfield,PA,sunrisenurserysupply.com,sunrisenurserysupply.com,login,https://organicmechanicsoil.com/,https://sunrisenurserysupply.com,duplicate_legacy_id;supplier_without_adapter,needs_review,Raw row shares a legacy ID with another supplier; needs manual identity review and ID reassignment or merge decision before acceptance.
3,58,123,Musser Forests,Indiana,PA,musserforests.com,musserforests.com,quote,,https://musserforests.com,duplicate_domain;supplier_without_adapter,needs_review,Raw row shares a normalized domain with another raw row; needs manual merge review before acceptance.
4,3,3,Brandywine Trees,Paoli,PA,brandywinetrees.com,brandywinetrees.com,public,,https://brandywinetrees.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,9,9,Clearview Nursery,Souderton,PA,clearviewplants.com,clearviewplants.com,public,,https://clearviewplants.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,11,11,Gro 'n Sell,Chalfont,PA,gronsell.com,gronsell.com,public,https://gronsell.com/availability-guide,https://gronsell.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,15,15,Edge of the Woods Native Plant Nursery,Orefield,PA,edgeofthewoodsnursery.com,edgeofthewoodsnursery.com,public,,https://edgeofthewoodsnursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,21,23,Creek Hill Nursery,Leola,PA,creekhillnursery.com,creekhillnursery.com,public,https://www.creekhillnursery.com/index.php/availability,https://creekhillnursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,19,27,Miller Plant Farm,York,PA,millerplantfarm.com,millerplantfarm.com,public,https://millerplantfarm.com/wholesale,https://millerplantfarm.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,30,36,Clear Ridge Nursery,Union Bridge,MD,clearridgenursery.com,clearridgenursery.com,public,https://www.clearridgenursery.com/products/wholesale/,https://clearridgenursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,32,59,Lucas Greenhouse,Monroeville,NJ,lucasgreenhouse.com,lucasgreenhouse.com,public,https://www.lucasgreenhouses.com/page/Availability-Price-List,https://lucasgreenhouse.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,39,61,DVFlora,Sewell,NJ,dvflora.com,dvflora.com,public,https://dvflora.com/,https://dvflora.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,85,165,TreeWorld Wholesale,Homestead,FL,treeworldwholesale.com,treeworldwholesale.com,public,,https://treeworldwholesale.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,93,178,Van Engelen Inc,Bantam,CT,vanengelen.com,vanengelen.com,public,https://www.vanengelen.com/,https://vanengelen.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
4,122,306,HeadStart Nursery,Apopka,FL,headstartnursery.com,headstartnursery.com,public,,https://headstartnursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,1,1,North Creek Nurseries,Landenberg,PA,northcreeknurseries.com,northcreeknurseries.com,login,https://www.northcreeknurseries.com/page/How-To-Order,https://northcreeknurseries.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,2,2,Octoraro Native Plant Nursery,Kirkwood,PA,octoraro.com,octoraro.com,login,https://www.octoraro.com/,https://octoraro.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,4,4,Wm. F. Hammell Nurseries,Honey Brook,PA,hammellnurseries.com,hammellnurseries.com,quote,,https://hammellnurseries.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,5,5,Feeney's Wholesale Nursery,Lahaska,PA,feeneyswholesale.com,feeneyswholesale.com,quote,,https://feeneyswholesale.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,6,6,Coles Nurseries,Lahaska,PA,colesnurseries.com,colesnurseries.com,login,https://colesnurseries.com/product-catalog/,https://colesnurseries.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,7,7,Peace Tree Farm,Kintnersville,PA,peacetreefarm.com,peacetreefarm.com,login,https://www.peacetreefarm.com/how-to-work-with-us-wholesale/,https://peacetreefarm.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,8,8,Highland Hill Farm,Fountainville,PA,digatree.com,digatree.com,quote,,https://digatree.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,10,10,Gino's Nursery,Newtown,PA,ginosnursery.com,ginosnursery.com,quote,https://ginosnursery.com/wholesale/,https://ginosnursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,12,12,Groth Nurseries,Douglassville,PA,grothnurseries.com,grothnurseries.com,quote,,https://grothnurseries.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,13,13,ArcheWild,Quakertown,PA,archewild.com,archewild.com,login,https://archewild.com/native-plant-nurseries/,https://archewild.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,14,14,Heartwood Nursery,Felton,PA,heartwoodnursery.net,heartwoodnursery.net,login,https://www.heartwoodnursery.net/wholesale-form,https://heartwoodnursery.net,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,17,17,Musselman Greenhouses,Orrtanna,PA,musselmangreenhouses.com,musselmangreenhouses.com,login,https://musselmangreenhouses.com/retail-info/,https://musselmangreenhouses.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,18,18,Huber Nurseries,Manheim,PA,hubernurseries.net,hubernurseries.net,quote,,https://hubernurseries.net,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,24,29,Babikow Greenhouses,Rosedale,MD,babikow.com,babikow.com,login,https://www.babikow.com/page/Apply-for-Commercial-Account,https://babikow.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,25,30,Waverly Farm,Adamstown,MD,waverlyfarm.com,waverlyfarm.com,quote,,https://waverlyfarm.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,22,31,Wicklein's Water Gardens & Nursery,Baltimore,MD,wickleinswatergardens.com,wickleinswatergardens.com,quote,,https://wickleinswatergardens.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,23,32,Catoctin Mountain Growers,Detour,MD,catoctinmountaingrowers.com,catoctinmountaingrowers.com,quote,,https://catoctinmountaingrowers.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,26,33,Tidal Creek Growers,Earleville,MD,tidalcreekgrowers.com,tidalcreekgrowers.com,login,,https://tidalcreekgrowers.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,27,34,Ruppert Nurseries,Laytonsville,MD,ruppertnurseries.com,ruppertnurseries.com,quote,,https://ruppertnurseries.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,28,38,Delmarva Native Plants,Quantico,MD,delmarvanativeplants.com,delmarvanativeplants.com,login,,https://delmarvanativeplants.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,29,39,Tideland Gardens,Queenstown,MD,tidelandgardens.com,tidelandgardens.com,quote,,https://tidelandgardens.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,34,48,Overdevest Nurseries,Bridgeton,NJ,grownbyoverdevest.com,grownbyoverdevest.com,quote,,https://grownbyoverdevest.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,35,49,New Moon Nursery,Bridgeton,NJ,newmoonnursery.com,newmoonnursery.com,login,https://newmoonnursery.com/ordering-shipping/,https://newmoonnursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,38,50,County Line Nurseries,Bridgeton,NJ,countylinenurseries.com,countylinenurseries.com,quote,,https://countylinenurseries.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,37,52,Riggins Nursery,Bridgeton,NJ,riggins-nursery.com,riggins-nursery.com,login,https://www.riggins-nursery.com/complete-availability-prices,https://riggins-nursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,36,53,Pinelands Nursery & Supply,Columbus,NJ,pinelandsnursery.com,pinelandsnursery.com,login,https://www.pinelandsnursery.com/all-products,https://pinelandsnursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,33,60,Lennon Farm Greenhouses,Tabernacle,NJ,lennonfarm.com,lennonfarm.com,quote,,https://lennonfarm.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,40,65,Riverbend Nursery,Riner,VA,riverbendnursery.com,riverbendnursery.com,quote,,https://riverbendnursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,41,69,Colesville Nursery,Ashland,VA,colesvillenursery.com,colesvillenursery.com,login,https://www.colesvillenursery.com/Wholesale-Center,https://colesvillenursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,42,70,Eastern Shore Nursery of Virginia,Keller,VA,esnursery.com,esnursery.com,quote,,https://esnursery.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,43,80,Costa Farms,Miami,FL,costafarms.com,costafarms.com,login,https://costafarms.com/pages/retailers,https://costafarms.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
5,44,81,Dewar Nurseries,Apopka,FL,dewar.com,dewar.com,quote,,https://dewar.com,supplier_without_adapter,needs_review,Raw dashboard row has not yet been independently verified against official source evidence; keep out of canonical dashboard views until reviewed.
