canonical_supplier_id,legacy_ids,supplier_name,legal_name,website,normalized_domain,city,state_or_province,country,supplier_type,product_categories,access_model,wholesale_status,phone,email,evidence_urls,evidence_notes,verification_status,verification_reason,last_verified_at,adapter_module,adapter_class,adapter_status,notes
BB-SUP-000001,[16],Quality Greenhouses & Perennial Farm,,https://www.qualitygreenhouses.net/,qualitygreenhouses.net,Dillsburg,PA,US,Wholesale Grower,"[""Annuals"", ""Perennials"", ""Edibles"", ""Succulents"", ""Shrubs"", ""Grasses"", ""Indoor Foliage""]",login,Wholesale Only,717-432-8900,,"[""https://www.qualitygreenhouses.net/"", ""https://www.qualitygreenhouses.net/what-we-grow/"", ""https://www.qualitygreenhouses.net/customer-resources/"", ""https://www.qualitygreenhouses.net/faqs/""]","Official site confirms wholesale positioning, Dillsburg address, product categories, catalog/customer resources, and online ordering/availability workflow.",verified,"Official Quality Greenhouses pages confirm identity, location, wholesale model, product categories, and account/availability access.",2026-04-30,scrape.adapters.qualitygreenhouses,QualityGreenhousesAdapter,active_unverified,Adapter requires Playwright and still needs a fresh live run on this machine.
BB-SUP-000002,"[21, 389]",Ernst Conservation Seeds,,https://www.ernstseed.com/,ernstseed.com,Meadville,PA,US,Seed Company,"[""Natives"", ""Seeds"", ""Seed Mixes"", ""Bioengineering Materials""]",pdf,Both,800-873-3321,sales@ernstseed.com,"[""https://www.ernstseed.com/price-list/""]","Official price-list page confirms current downloadable seed and bioengineering price lists, ordering contact, and Meadville address.",verified,"Official Ernst page confirms identity, price-list access model, product/business model, and location.",2026-04-30,scrape.adapters.pdf_pricelists,ErnstSeedsAdapter,active_unverified,Legacy ID 389 is the dashboard duplicate/bioengineering entry and maps to the same canonical supplier.
BB-SUP-000003,[110],Walters Gardens,"Walters Gardens, Inc.",https://www.waltersgardens.com/,waltersgardens.com,Zeeland,MI,US,Wholesale Perennial Grower,"[""Perennials""]",login,Wholesale Only,888-925-8377,sales@waltersgardens.com,"[""https://www.waltersgardens.com/ordering.php"", ""https://www.waltersgardens.com/perennials.php""]","Official ordering page confirms wholesale ordering, login-required pricing/order forms, weekly availability, and Zeeland mailing address.",verified,"Official Walters pages confirm supplier identity, wholesale ordering model, login-gated pricing, product category, and location.",2026-04-30,scrape.adapters.walters,WaltersAdapter,placeholder_registered,Registered adapter is a login scaffold with guessed selectors and needs approved credentials plus DOM verification.
BB-SUP-000004,[111],Hoffman Nursery,"Hoffman Nursery, Inc.",https://hoffmannursery.com/,hoffmannursery.com,Rougemont,NC,US,Wholesale Grower,"[""Grasses"", ""Sedges"", ""Perennials"", ""Natives""]",pdf,Wholesale Only,800-203-8590,sales@hoffmannursery.com,"[""https://hoffmannursery.com/""]","Official homepage confirms wholesale-only status, ornamental/native grasses and perennials, availability/order form downloads, and Rougemont address.",verified,"Official Hoffman Nursery page confirms identity, location, wholesale model, product categories, and downloadable availability/pricing access.",2026-04-30,scrape.adapters.pdf_pricelists,HoffmannNurseryAdapter,placeholder_registered,Registered adapter has an empty pdf_urls list and remains a placeholder until current direct URLs are available.
BB-SUP-000005,[121],Mountain Spring Nursery,"Mountain Spring Nursery, LLC",https://mountainspringnursery.com/,mountainspringnursery.com,Reinholds,PA,US,Wholesale Grower,"[""Shrubs"", ""Perennials"", ""Trees""]",login,Wholesale Only,717-336-0833,,"[""https://mountainspringnursery.com/catalogandavail"", ""https://mountainspringnursery.com/products""]","Official pages confirm wholesale catalog/availability with customer password, Reinholds address, and products including shrubs, perennials, and trees.",verified,"Official Mountain Spring pages confirm identity, location, wholesale catalog/access model, and product categories.",2026-04-30,scrape.adapters.pdf_pricelists,MountainSpringNurseryAdapter,placeholder_registered,Registered adapter has placeholder/empty PDF URLs and should stay quarantined from production scraping until direct documents are verified.
BB-SUP-000006,[130],Go Native Trees,,https://www.gonativetrees.com/,gonativetrees.com,Manheim,PA,US,Native Specialist,"[""Natives"", ""Trees"", ""Shrubs""]",pdf,Both,717-399-0195,,"[""https://www.gonativetrees.com/"", ""https://www.gonativetrees.com/download/price-list/""]","Official pages confirm Go Native Tree Farm identity, Manheim nursery address, wholesale/retail customers, current price list, and quote/order process.",verified,"Official Go Native Trees pages confirm identity, location, product focus, price-list access, and wholesale/retail model.",2026-04-30,scrape.adapters.pdf_pricelists,GoNativeTreesAdapter,placeholder_registered,Registered adapter has an empty PDF URL list despite the official price-list page; direct download URL still needs adapter verification.
BB-SUP-000007,[201],Nolt's Greenhouse Supplies,,https://noltsgreenhousesupplies.com/,noltsgreenhousesupplies.com,Ephrata,PA,US,Supply/Hard Goods,"[""Hard Goods"", ""Greenhouse Supplies"", ""Containers"", ""Fertilizer"", ""Irrigation""]",pdf,Commercial Growers Catalog,717-354-8376,sales@noltsgreenhouse.com,"[""https://noltsgreenhousesupplies.com/NGScatalog.pdf"", ""https://www.lawnandgardendirectory.org/nolt-s-greenhouse-supplies.aspx""]",Official PDF confirms Nolt's Greenhouse Supplies 2026 commercial growers catalog and phone; trade-directory listing supplies address and email because the public site has minimal contact text.,verified,"Official catalog verifies identity, commercial supplier model, product categories, and catalog access; directory evidence fills contact location.",2026-04-30,scrape.adapters.pdf_pricelists,NoltsSuppliesAdapter,active_unverified,Legacy ID 201 is duplicated by a Musser Forests raw row; this canonical supplier is matched by Nolt name/domain only.
BB-SUP-000008,[207],SiteOne Landscape Supply,"SiteOne Landscape Supply, Inc.",https://www.siteone.com/,siteone.com,Roswell,GA,US,Landscape Supply Distributor,"[""Nursery"", ""Landscape Supply"", ""Irrigation"", ""Hardscapes"", ""Agronomic Maintenance""]",public,Account/Guest Ordering,1-800-748-3663,customersupport@ec.siteone.com,"[""https://www.siteone.com/en/"", ""https://www.siteone.com/en/contactus""]","Official pages confirm SiteOne identity, nursery/landscape supply categories, pricing/inventory branch workflow, account/guest access, and Roswell home office.",verified,"Official SiteOne pages confirm identity, product categories, access model, and home-office location.",2026-04-30,scrape.adapters.siteone,SiteOneAdapter,active_unverified,Adapter requires undetected browser dependencies and needs a fresh live run before production classification.
BB-SUP-000009,[210],ARBICO Organics,,https://www.arbico-organics.com/,arbico-organics.com,Oro Valley,AZ,US,Organic Pest Control and Growing Supplies,"[""Beneficial Insects"", ""Pest Control"", ""Growing Supplies"", ""Fertilizers"", ""Soil Amendments""]",public,Public Online Ordering,1-800-827-2847,CustomerCare@arbico.com,"[""https://www.arbico-organics.com/category/beneficial-insects-organisms"", ""https://www.arbico-organics.com/category/contactus"", ""https://www.arbico-organics.com/category/shipping-info""]","Official pages confirm ARBICO Organics identity, Oro Valley retail/corporate office, online ordering, and beneficial insect/growing supply categories.",verified,"Official ARBICO pages confirm identity, location, product/business model, and public online ordering access.",2026-04-30,scrape.adapters.arbico,ARBICOAdapter,active_unverified,Legacy ID 210 is duplicated by an Adams County Greenhouse raw row; this canonical supplier is matched by ARBICO name/domain only.
BB-SUP-000010,[244],Blue Sky Nursery,,https://blueskynursery.ca/,blueskynursery.ca,Lincoln,ON,CA,Wholesale Grower,"[""Perennials"", ""Broadleaf Evergreens"", ""Flowering Shrubs & Trees"", ""Ferns"", ""Hostas"", ""Hydrangeas"", ""Ornamental Grasses""]",pdf,Wholesale Only,905-563-4245,orders@blueskynursery.ca,"[""https://blueskynursery.ca/orders/2025-catalogue/"", ""https://blueskynursery.ca/our-products/""]","Official pages confirm Lincoln ON location, wholesale-only status, online availability/catalog access, product categories, and contact details.",verified,"Official Blue Sky pages confirm identity, location, wholesale model, product categories, and catalog/availability access.",2026-04-30,scrape.adapters.pdf_pricelists,BlueSkyAvailAdapter,active_verified,Duplicate raw dashboard rows are merged to this one canonical supplier; prior local adapter audit recorded a successful live availability run.
