id,n,city,st,type,cat,ws,web,ph,d,size
1,North Creek Nurseries,Landenberg,PA,Plug/Liner Producer,"[""Perennials"",""Grasses"",""Ferns"",""Natives""]",Wholesale Only,northcreeknurseries.com,610-255-0100,{},
2,Octoraro Native Plant Nursery,Kirkwood,PA,Native Specialist,"[""Natives"",""Trees"",""Shrubs""]",Wholesale Only,octoraro.com,717-529-3160,{},
3,Brandywine Trees,Paoli,PA,Wholesale Grower,"[""Trees""]",Wholesale Only,brandywinetrees.com,610-888-8422,{},
4,Wm. F. Hammell Nurseries,Honey Brook,PA,Wholesale Grower,"[""Trees""]",Wholesale Only,hammellnurseries.com,,{},
5,Feeney's Wholesale Nursery,Lahaska,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials"",""Annuals""]",Wholesale Only,feeneyswholesale.com,,{},
6,Coles Nurseries,Lahaska,PA,Wholesale Grower,"[""Trees"",""Shrubs""]",Wholesale Only,colesnurseries.com,215-794-8863,{},
7,Peace Tree Farm,Kintnersville,PA,Wholesale Grower,"[""Herbs"",""Edibles"",""Annuals"",""Perennials""]",Wholesale Only,peacetreefarm.com,610-847-8152,{},
8,Highland Hill Farm,Fountainville,PA,Wholesale Grower,"[""Trees""]",Both,digatree.com,215-768-9229,{},
9,Clearview Nursery,Souderton,PA,Wholesale Grower,"[""Perennials"",""Annuals"",""Shrubs"",""Natives""]",Wholesale Only,clearviewplants.com,215-723-6444,{},
10,Gino's Nursery,Newtown,PA,Wholesale Grower,"[""Natives"",""Perennials""]",Both,ginosnursery.com,267-750-9042,{},
11,Gro 'n Sell,Chalfont,PA,Plug/Liner Producer,"[""Annuals"",""Perennials"",""Herbs"",""Edibles""]",Wholesale Only,gronsell.com,215-822-1276,{},
12,Groth Nurseries,Douglassville,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials""]",Wholesale Only,grothnurseries.com,610-970-5500,{},
13,ArcheWild,Quakertown,PA,Native Specialist,"[""Natives"",""Grasses"",""Shrubs"",""Trees""]",Both,archewild.com,855-752-6862,{},
14,Heartwood Nursery,Felton,PA,Native Specialist,"[""Natives"",""Trees"",""Shrubs"",""Perennials"",""Ferns""]",Both,heartwoodnursery.net,717-993-5230,{},
15,Edge of the Woods Native Plant Nursery,Orefield,PA,Native Specialist,"[""Natives""]",Both,edgeofthewoodsnursery.com,610-395-2570,{},
16,Quality Greenhouses & Perennial Farm,Dillsburg,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Shrubs"",""Houseplants"",""Holiday""]",Wholesale Only,qualitygreenhouses.net,717-432-8900,{},
17,Musselman Greenhouses,Orrtanna,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Herbs"",""Holiday"",""Houseplants""]",Both,musselmangreenhouses.com,717-334-1187,{},
18,Huber Nurseries,Manheim,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials""]",Both,hubernurseries.net,,{},
27,Miller Plant Farm,York,PA,Wholesale Grower,"[""Edibles"",""Herbs"",""Annuals""]",Both,millerplantfarm.com,717-792-4651,{},
21,Ernst Conservation Seeds,Meadville,PA,Seed Company,"[""Natives"",""Seeds""]",Both,ernstseed.com,800-873-3321,{},
23,Creek Hill Nursery,Leola,PA,Plug/Liner Producer,"[""Perennials"",""Grasses"",""Annuals""]",Wholesale Only,creekhillnursery.com,888-565-0050,{},
31,Wicklein's Water Gardens & Nursery,Baltimore,MD,Native Specialist,"[""Natives"",""Aquatics"",""Perennials""]",Both,wickleinswatergardens.com,410-823-1335,{},
32,Catoctin Mountain Growers,Detour,MD,Wholesale Grower,"[""Annuals"",""Perennials"",""Edibles""]",Wholesale Only,catoctinmountaingrowers.com,301-898-3033,{},
29,Babikow Greenhouses,Rosedale,MD,Wholesale Grower,"[""Perennials"",""Annuals"",""Grasses"",""Natives""]",Wholesale Only,babikow.com,410-391-4200,{},
30,Waverly Farm,Adamstown,MD,Wholesale Grower,"[""Trees"",""Shrubs""]",Wholesale Only,waverlyfarm.com,301-874-8300,{},
33,Tidal Creek Growers,Earleville,MD,Wholesale Grower,"[""Annuals"",""Perennials"",""Edibles""]",Wholesale Only,tidalcreekgrowers.com,410-275-9370,{},
